ADD_FULL,POSTAL_CD,X,Y,LONGITUDE,LATITUDE,OBJECTID,FACI_NAM,FACI_TYPE,UNIT,UNIT_TYPE,DEV_LOC,DEV_COUNT
181 Bay St,M5J 2T9,314515.608,4833926.316,-79.37937378,43.64722301,336,Burgundy Asset Management,Office,4510,STE,N/A,1
181 Glenlake Ave,M6P 4B6,307834.85,4835127.684,-79.46218059,43.65809344,337,Keele CC,Recreation or Sports Facility,,,Outside CC Office,1
140 Bay St,M5J 2L5,314540.03,4833721.828,-79.37907162,43.64537352,296,Go Transit - Union Station,Transportation Facility,,,First aid room,2
25 Eleventh St,,304167.914,4828148.308,-79.50763504,43.5952752,94,Rotary ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
2 Rowntree Rd,M9V 5C7,297947.748,4845537.631,-79.58489585,43.75177069,17,North Kipling CC,Recreation or Sports Facility,,,Lobby,1
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,37,Ferry Docks,Transportation Facility,,,Main Terminal,9
1209 Sheppard Ave E,M2K 3E1,315494.764,4847683.932,-79.36696336,43.77104524,624,TTC - Leslie Station,Transportation Facility,,,Leslie,1
1435 Eglinton Ave W,M6C 3Z4,309888.062,4839598.678,-79.43668302,43.69832725,647,TPS - 13 Division,Law enforcement agency,,,2nd Flr - West Hallway,2
1675 Martin Grove Rd,M9V 3S3,297799.294,4843222.595,-79.5867087,43.73093099,668,West Humber CI,School,,,N/A,1
726 Bloor St W,M6G 4A1,311375.026,4835769.389,-79.41828154,43.66384717,540,TTC - Christie Station,Transportation Facility,,,Christie,1
45 Twenty Third St,M8V 3M6,303148.301,4828007.331,-79.52026336,43.59400505,146,RL Clark Filtration Plant,Industrial Facility,,,Outside Control Rm,2
1571 Sandhurst Crcl,M1V 1V2,323344.367,4851943.198,-79.26931529,43.80922934,664,TPL - Woodside Square Mall,Library,,,Circulation Desk,1
145 Guildwood Pkwy,M1E 1P5,329187.932,4845053.067,-79.19699466,43.74704211,299,Sir Wilfred Laurier CI,School,,,South Gym (Girls Gym A),2
1 Austin Ter,M5R 1X8,312079.36,4837355.916,-79.409527,43.67812175,5,Casa Loma,Recreation or Sports Facility,,,Security Hallway,1
70 Centre Ave,M5G 1R5,313859.128,4834825.22,-79.38749676,43.65532241,197,TPS - C - 70 Centre Ave.,Law enforcement agency,,,Wading Station - Main Doors,1
80 Sheppard Ave W,M2N 1M2,311624.718,4846547.758,-79.41505024,43.76086432,215,North York Seniors Centre,Recreation or Sports Facility,,,back of bldg. main level,1
95 Mimico Ave,M8V 1R4,305234.62,4829991.268,-79.49442127,43.61186431,235,John English CS,Recreation or Sports Facility,,,Outside CS Office,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,249,Exhibition Place Grounds,Convention Facility,,,Press Building,14
37 Marquis Ave,M8X 1V3,304091.202,4835108.336,-79.50859268,43.65792441,122,Lambton Kingsway ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
45 Goulding Ave,M2M 1K8,311050.454,4849885.435,-79.4221433,43.79091189,141,Goulding Arena,Recreation or Sports Facility,,,Rotunda,1
50 Ingram Dr,M6M 2L6,307097.149,4839856.549,-79.47130707,43.70066224,157,Ingram Drive Transfer Station,Industrial Facility,,,Scale House,1
60 Tiffield Rd,M1V 5N2,324451.287,4852551.365,-79.25553445,43.8146753,172,Tiffield Yard,Industrial Facility,,,Main Hallway,1
3101 Yonge St,,312685.167,4842604.955,-79.40193748,43.72536278,754,TTC - Lawrence (Yonge) Station,Transportation Facility,,,Lawrence (Yonge),1
4169 Bathurst St,M3H 3P7,310269.88,4845627.296,-79.4318857,43.75259016,777,Earl Bales Park CC,Recreation or Sports Facility,,,Banquet Wall,2
4640 Finch Ave E,M1S 4G2,322942.986,4851738.99,-79.27431105,43.80740096,790,Francis Libermann,School,,,Outside Main Office,1
5120 Yonge St,M2N 5N9,311782.725,4847353.937,-79.41307739,43.76811945,801,TPL - North York Central,Library,,,4th Flr Elevator,2
5400 Lawrence Ave E,M1C 2C6,333582.205,4848655.383,-79.14224148,43.77931055,811,Sir Oliver Mowat CI,School,,,Outside Main Office,1
1880-1890 Eglinton Ave E,M1L 2L1,320939.282,4842638.012,-79.29948632,43.72552749,683,Golden Mile Employment & Socia,Office,,,Behind Security Desk,1
2125 Lawrence Ave W,M9N 1H7,303324.892,4839627.588,-79.51810799,43.6986021,697,Weston Lion ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
2239 Lawrence Ave E,M1P 2P7,322651.607,4845128.496,-79.27815014,43.74790608,711,Winston Churchill CI,School,,,By Gym,2
2500 Birchmount Rd,M1T 2M5,320691.94,4849415.329,-79.30235372,43.78652835,722,Stephen Leacock Complex,Recreation or Sports Facility,,,By Fields,1
2700 Eglinton Ave W,M6M 1V1,306524.464,4838659.945,-79.47841564,43.68989282,735,York Civic Centre,Office,,,Security Desk,1
1177 Danforth Ave,M4J 1M5,318254.091,4837692.914,-79.33293834,43.6810694,621,TTC - Greenwood Station,Transportation Facility,,,Greenwood,1
1300 Sheppard Ave W,M3K 2A6,306168.288,4845694.365,-79.48281798,43.75321252,633,Animal Services North,Office,,,Main Entrance,1
1433 Queen St E,M4L 1C7,319105.976,4835890.284,-79.32242012,43.6648275,645,TTC - Russell Division,Transportation Facility,,,Traffic Office,2
2365 Dundas St W,M6P 1W7,308555.905,4834999.497,-79.45324212,43.65693632,657,TTC - Dundas West Station,Transportation Facility,,,Dundas West,1
1555 Midland Ave,M1P 3C1,323728.787,4845958.239,-79.26474629,43.75534836,662,Bendale BTI,School,,,Outside Main Office,1
1733 Bloor St W,M6P 1B2,308032.045,4834736.444,-79.45973843,43.65457082,673,TTC - Keele Station,Transportation Facility,,,Keele,1
786 Dundas St E,M4M 1R1,316582.312,4835614.59,-79.35371883,43.66238973,551,786 Dundas - FRED Workshops,Industrial Facility,,,By Phone,1
850 Humberwood Blvd,M9W 7A6,295182.675,4842999.595,-79.61918519,43.72889445,565,Humberwood  Community Centre,Recreation or Sports Facility,,,Reception,1
991 St Clair Ave W,M6E 1A3,309913.865,4837414.217,-79.43638226,43.67866447,580,Oakwood CI,School,,,Outside Room 119,1
400 Greenwood Ave,M4J 4Y5,318377.012,4837324.421,-79.33142294,43.67775016,455,TTC - Greenwood Shops,Transportation Facility,,,By Cafeteria,5
540 Jones Ave,M4J 3G9,317703.861,4837260.876,-79.33977313,43.67719005,484,Jones Avenue - TDSB,School,,,Outside Main Office,1
570 Wilson Ave,,308712.43,4843574.324,-79.4512368,43.73411172,496,TTC - Wilson Station,Transportation Facility,,,Wilson,1
640 Lawrence Ave W,M6A 1B1,309630.565,4841763.75,-79.43985857,43.71781754,515,John Polanyi CI / Bathurst Hei,School,,,Main Hallway by Pool,2
251 Esther Shiner Blvd,M2K 0A9,315613.527,4847439.73,-79.36549304,43.76884546,380,Oriole Yard,Industrial Facility,,,Main Entrance,1
281 Front St E,M5A 4L2,315912.899,4834393.674,-79.36204366,43.65141017,393,TPL - Bibliographic Services,Library,,,Lobby,1
311 Jarvis St,M5B 2C4,314880.048,4835271.281,-79.3748313,43.65932462,405,TPS - C -  311 Jarvis,Law enforcement agency,,,Supervisor Office - basement,1
351 Christie St,M6G 3C3,311140.781,4836829.25,-79.421173,43.67338942,421,Castleview Wychwood Towers,Medical Facility,,,3rd Floor - nurses station,2
700 Lawrence Ave W,M6A 3B4,309020.188,4841665.274,-79.44743415,43.71693493,525,Lawrence Square E & S.S,Office,330,STE,Reception (3rd floor East Tower),1
3000 Don Mills Rd E,M2J 3B6,316817.645,4849158.822,-79.35049619,43.78429229,400,George Vanier SS,School,,,N/A,1
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,34,Ashbridges Bay Treatment Plant,Industrial Facility,,,Old Admin Bldg,7
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,36,Ashbridges Bay Treatment Plant,Industrial Facility,,,Dewatering Bldg,7
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,39,Ferry Docks,Transportation Facility,,,Ongara,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,40,Ferry Docks,Transportation Facility,,,Thomas Rennie,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,41,Ferry Docks,Transportation Facility,,,Sam MacBride,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,42,Ferry Docks,Transportation Facility,,,William Inglis,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,43,Toronto Island Recreation,Recreation or Sports Facility,,,Admin Building,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,44,Toronto Island Recreation,Recreation or Sports Facility,,,Utility Building,9
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,45,Toronto Island Recreation,Recreation or Sports Facility,,,First Aid Centre (Bldg 40),9
10 Toledo Rd,M9C 2H3,298979.263,4833025.438,-79.57194982,43.63915422,47,Bloordale CS,Recreation or Sports Facility,,,Main Entrance,1
10 Rampart Rd,M9V 4L9,297638.851,4843652.601,-79.58870603,43.73480001,48,Elmbank CC,recreation or Sports Facility,,,Reception,1
11 Fishleigh Dr,,324659.296,4839735.156,-79.25342015,43.69930838,49,Scarborough Pumping Station,Industrial Facility,,,Outside boardroom,1
12 Malvern Ave,M4E 3E1,321463.411,4837658.484,-79.29313458,43.68069437,50,Notre Dame Catholic High School,School,,,O/S Main Office,1
12 Duckworth St,M6M 4W4,304735.221,4840062.035,-79.50061114,43.70251481,51,St. Bernard Catholic School,School,,,Outside Main Office,1
14 Broadway Ave,M4P 1T4,313034.198,4840917.329,-79.39763094,43.71016786,52,St. Monica Catholic School,School,,,Outside Office,1
15 Wallingford Rd,M3A 2V1,319161.029,4846026.819,-79.32146443,43.75605933,53,Victoria Park CI,School,,,N/A,1
15 The Donway E,M3C 1X6,317730.955,4843790.911,-79.33928038,43.73596788,54,Don Mills CI,School,,,Outside Gym,1
400 Greenwood Ave,M4J 4Y5,318377.012,4837324.421,-79.33142294,43.67775016,454,TTC - Greenwood Shops,Transportation Facility,,,Outside Formans Office 5F2,5
400 Commissioners St,M4M 3K2,317747.286,4834459.993,-79.3393016,43.65197792,456,Commissioners Transfer Station,Industrial Facility,,,Scale House,1
400 The West Mall,M9C 5S1,299336.304,4833535.027,-79.56753,43.64374394,458,Wesburn Manor,Residence (excluding private homes),,,By Elevators,1
432 Horner Ave,M8W 2B2,301713.684,4829081.868,-79.53803668,43.60367298,461,Franklin Horner Community,Recreation or Sports Facility,,,outside lounge room,1
439 Sherbourne St,M4X 1K6,314970.555,4836044.078,-79.37369472,43.66627962,464,Fudger House,Medical Facility,,,Main Entrance,1
443 Arlington Ave,M6C 3A4,310216.777,4838817.319,-79.43261249,43.69129182,465,Phil White Arena,Recreation or Sports Facility,,,Lobby,1
444 Yonge St,M5B 2H7,314137.48,4835413.771,-79.38403538,43.6606165,466,TPS - C - College Park,Law enforcement agency,,,Supervisor Office - Main Cells,2
446 Lakeshore Ave,M5J 1X9,314424.055,4830293.065,-79.38056964,43.61451159,468,Island Filtration Plant (Centre Island),Industrial Facility,,,Maintenance Bldg,2
449 University Ave,,313816.504,4834769.119,-79.38802613,43.65481796,470,TTC - St Patrick Station,Transportation Facility,,,St. Patrick,1
454 Avenue Rd,M4V 2J1,312740.597,4838112.116,-79.40131552,43.6849215,471,Brown CC,Recreation or Sports Facility,,,Ouside main office,1
455 Glebeholme Blvd,M4C 1V3,319169.542,4838268.441,-79.32156863,43.6862324,472,Earl Beatty CC,Recreation or Sports Facility,,,outside CC Office,1
455 Cosburn Ave,M4J 2N2,318045.84,4838905.522,-79.33549136,43.69198805,473,Dieppe Park AIR,Recreation or Sports Facility,,,Change room,1
484 Yonge St,M4Y 1X5,314144.6,4835636.2,-79.38394316,43.66261858,474,TTC - College Station,Transportation Facility,,,College,1
485 Montrose Ave,M6G 3H2,311181.555,4835667.177,-79.42068161,43.66292891,475,Bob Abate CC,recreation or Sports Facility,,,Reception,1
490 York Mills Rd,M3B 1W6,314969.687,4845515.886,-79.37352713,43.75153765,476,York Mills CI,School,,,Outside Main Office,1
490 Queen's Dr,M6L 1M8,305101.778,4840904.658,-79.49606273,43.71009955,477,Chaminade Catholic High School,School,,,outside main office,1
496 Birchmount Rd,M1K 1N8,323372.498,4840704.238,-79.26935139,43.70806479,480,TPL - Albert Campbell,Library,,,Circulation Desk,1
500 Alliance Ave,M6N 2H8,305690.87,4837285.363,-79.4887575,43.677521,481,Frank Oke SS,School,,,NA,1
500 The East Mall,M9B 2C4,299795.728,4834188.531,-79.56184169,43.64962968,482,Burnhamthorpe CI,School,,,NA,1
545 Markham Rd,M1H 2A1,327011.648,4846213.733,-79.22396843,43.75755735,485,TPL - Cedarbrae District,Library,,,Near Photocopier,1
545 Commissioners St,M4M 1A5,318571.79,4834730.972,-79.32907334,43.65440231,487,District Operational Services,Office,,,Reception,2
550 Markham Rd,M1H 2A2,326854.293,4846079.025,-79.22592805,43.75634951,489,Cedarbrae CI,School,,,Outside Main Office,1
550 Finch Ave W,M2R 1N6,309105.289,4848053.647,-79.44632804,43.77443781,491,Northview Heights SS,School,,,N/A,1
550 Broadview Ave,,316510.541,4836552.089,-79.35458848,43.67082962,492,Riverdale ODP/ Hodgson AIR,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
16 Wellesley St E,M4Y 1G2,314144.522,4835933.39,-79.38393902,43.66529384,493,TTC - Wellesley Station,Transportation Facility,,,Wellesley,1
565 Bloor St W,M5S 1Y6,311964.913,4835901.797,-79.41096493,43.66503408,494,TTC - Bathurst Station,Transportation Facility,,,Bathurst,1
569 Jane St,M6S 4A3,305605.793,4835732.243,-79.48981466,43.66354085,495,Runnymede CI,School,,,Outside Main Office,1
570 Shaw St,M6G 3L6,311075.634,4835118.055,-79.42200186,43.65798705,498,Central Commerce CI,School,,,Outside Main Office,1
580 Finch Ave W,M2R 1N7,308805.322,4847934.307,-79.45005526,43.77336529,500,Herbert H. Carnegie Arena,Recreation or Sports Facility,,,Snack Bar,1
580 Commissioners St,M4M 1A7,318451.714,4834946.827,-79.33055654,43.65634746,501,TTC - Wheel Trans,Transportation Facility,,,Traffic Office,3
580 Commissioners St,M4M 1A7,318451.714,4834946.827,-79.33055654,43.65634746,502,TTC - Wheel Trans,Transportation Facility,,,2 nd Floor by Elevator,3
1515 Bloor St W,M6P 1A3,308671.405,4834880.699,-79.45181097,43.65586641,655,Bishop Marrocco Catholic H.S.,School,,,Outside Main Office,1
1515 Albion Rd,M9V 1B2,298004.688,4844214.531,-79.58417152,43.73986146,656,TPL - Albion,Library,,,Circulation Desk,1
1530 Markham Rd,M1B 3G4,325876.831,4849815.768,-79.23792075,43.790013,659,1530 Markham Rd,Office,,,5th Floor - Elevators,2
1535 Kingston Rd,M1N 1R5,323442.671,4838583.672,-79.26855411,43.68897563,660,EMS - District 4,Emergency Services,,,Main Entrance,1
1550 Sandhurst Crcl,M1V 1S6,323015.01,4851919.363,-79.27340979,43.80902284,661,Albert Campbell CI,School,,,By Guidance Office,1
1568 Danforth Ave,M4J 1N4,318981.542,4837973.645,-79.32390842,43.68358263,663,TTC - Coxwell Station,Transportation Facility,,,Coxwell,1
1627 Danforth Ave,M4C 1H7,319134.724,4837921.433,-79.3220098,43.68310969,665,TTC  -  Danforth Division,Transportation Facility,,,Main Entrance,1
1633 Wilson Ave,M3L 1A5,303755.526,4841986.254,-79.51277057,43.71983481,667,Downsview Arena,Recreation or Sports Facility,,,Arena - Northwest Wall,1
1700 Finch Ave E,M2J 4X8,316751.736,4850224.274,-79.35129477,43.79389252,669,Seneca Village CC,Recreation or Sports Facility,,,Reception,1
1700 Sheppard Ave E,M2J 5G9,317132.059,4848173.049,-79.34661547,43.77542278,670,TTC - Don Mills Station,Transportation Facility,,,Don Mills,1
1700 Keele St,M6M 3W5,306904.588,4838067.055,-79.47370246,43.68455509,671,George Harvey CI,School,,,N/A,1
1720 Ellesmere Rd,M1H 2V5,325091.53,4847947.931,-79.24774857,43.77322201,672,TTC - McCowan Carhouse,Transportation Facility,,,Main Entrance,1
700 Arrow Rd,M9M 2M1,302128.024,4844886.872,-79.53298438,43.74594026,527,TTC - Arrow Rd. Garage,Transportation Facility,,,Garage Formans Office,2
701 Sheppard Ave E,M2K 2Z3,314646.579,4847393.373,-79.37750447,43.76844179,528,TTC - Bessarion Station,Transportation Facility,,,Bessarion,1
703 Don Mills Rd,M3C 3N3,318225.691,4840798.39,-79.3332133,43.70902229,531,703 Don Mills,Office,,,Security Desk 703 Don Mills,2
711 Bloor St E,M4W 1J4,315588.183,4836897.017,-79.36601957,43.67394825,533,Rosedale Heights School of the,School,,,Outside Main Office,1
720 Midland Ave,M1K 4C9,324386.193,4842934.029,-79.25669186,43.72810967,534,720 Midland,School,,,Main Lobby,1
721 Royal York Rd,M8Y 2T3,304423.768,4832498.912,-79.50446795,43.63443649,535,Bishop Allen Catholic High Sch,School,,,Outside Main Office,1
725 Logan Ave,,317039.966,4836970.933,-79.34801044,43.67458264,536,Withrow Clubhouse  Field House,Recreation or Sports Facility,,,Clubhouse (lobby),2
725 Logan Ave,,317039.966,4836970.933,-79.34801044,43.67458264,537,Withrow Clubhouse  Field House,Recreation or Sports Facility,,,Fieldhouse (change Rooms),2
730 Military Trl,M1E 4P7,328994.221,4849966.267,-79.19917918,43.79127238,541,Tam Heather Curling Club,Recreation or Sports Facility,,,S/E Wall - Lounge,1
730 Eglinton Ave W,M5N 1B9,311123.818,4840126.317,-79.42134603,43.70306685,542,Forest Hill CI,School,,,2nd FL outside Main Office,1
20 Bloor St E,M4W 3G7,314022.526,4836540.668,-79.38544143,43.67076174,543,TTC - Bloor/Yonge Station,Transportation Facility,,,Bloor / Yonge,1
755 Oakdale Rd,M3N 1W7,302763.765,4845604.977,-79.52509382,43.75240623,544,Westview Centennial SS,School,,,ouside main office,1
777 Victoria Park Ave,,321779.962,4839198.798,-79.28915706,43.69454357,545,TTC - Victoria Park Station,Transportation Facility,,,Victoria Park,1
777 Lawrence Ave W,M6A 1C2,308523.633,4841321.187,-79.45359873,43.71384028,546,Edwards -  Toronto Botanical G,Recreation or Sports Facility,,,Main Building - Reception,1
777 Bloor St W,M6G 1L6,311249.712,4835612.771,-79.41983402,43.66242998,547,Bickford Learning Centre,School,,,outside main office,1
785 Glencairn Ave,,309531.613,4840823.025,-79.44109477,43.70935059,550,TTC - Glencairn Station,Transportation Facility,,,Glencairn,1
789 Yonge St,M4W 2G8,313923.031,4836665.602,-79.38667321,43.67188752,553,TPL - Toronto Reference,Library,,,Security,1
791 Queen St E,M4M 1H6,317165.949,4835259.002,-79.34649029,43.65917961,554,Public Health- Queen St. East,Medical Facility,,,Reception,1
800 Greenwood Ave,M4J 4B7,318160.619,4837890.243,-79.33409278,43.68284732,556,Danforth Collegiate & TI,School,,,Main Foyer,2
816 Logan Ave,M4K 3E1,316884.084,4837254.462,-79.34994067,43.67714593,558,Frankland CC,Recreation or Sports Facility,,,Outside CS Office,1
821 Progress Ave,M1H 2X4,325579.991,4848725.482,-79.241651,43.78020745,559,Animal Services East,Office,,,Main Entrance,1
835 Davenport Rd,M6G 2B4,311297.046,4837164.824,-79.41923142,43.67640885,560,TTC - Revenue Operations,Transportation Facility,,,Main Hallway (N/E corner),1
845 King St W,,312103.241,4833382.418,-79.40928482,43.64235578,562,Stanley ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
849 Eastern Ave,M4L 1A2,318740.965,4835552.954,-79.32695483,43.66179795,563,849 Eastern Ave-TDSB,School,,,N/A,1
850 Coxwell Ave,M4C 5R1,318657.823,4838795.661,-79.32790263,43.69098772,564,East York Civic centre,Office,,,Security Desk,1
851 Mount Pleasant Rd,M4P 2L5,313635.616,4840960.068,-79.39016754,43.71054569,566,Northern SS,School,,,Outside Main Office,1
870 Queen St E,M4M 3G9,317259.02,4835400.54,-79.34533309,43.66045212,568,Jimmie Simpson RC,Recreation or Sports Facility,,,Lobby,1
883 Bloor St W,M6G 1M4,310805.603,4835544.022,-79.4253444,43.66182359,569,TTC - Ossington Station,Transportation Facility,,,Ossington,1
888 Lawrence Ave E,M3C 1P6,317070.435,4843863.03,-79.34747877,43.73662818,570,TPL - Don Mills,Library,,,After Hours Entrance,1
888 Cosburn Ave,M4C 2W6,319672.683,4839513.726,-79.31529343,43.69743138,571,East York Memorial Arena,Recreation or Sports Facility,,,South Arena Wall,1
891 Morningside Ave,M1C 1B9,329301.127,4850157.57,-79.19535701,43.79298427,572,Morningside Yard,Industrial Facility,,,By Eywash Station,1
895 Eastern Ave,M4L 1A2,318863.374,4835606.98,-79.32543568,43.66228197,573,TFS - Training Academy,Emergency Services,,,Main Flr - Common Area,1
953 Gerrard St E,M4M 1Z4,317735.887,4836246.897,-79.33940021,43.66806225,576,Matty Eckler CRC,Recreation or Sports Facility,,,Lobby,1
959 Midland Ave,M1K 4G4,324243.999,4844026.664,-79.25841756,43.73794853,578,Jean Vanier Catholic High School,School,,,Upper Staff Room,2
990 Danforth Ave,M4J 1L9,317881.341,4837640.431,-79.33756281,43.68060355,579,TTC - Donlands Station,Transportation Facility,,,Donlands,1
3699 Bloor St W,M9A 1A2,302429.72,4833462.6,-79.52918456,43.6431069,733,TPS - 22 Division,Law enforcement agency,,,Front Desk,2
3699 Bloor St W,M9A 1A2,302429.72,4833462.6,-79.52918456,43.6431069,734,TPS - 22 Division,Law enforcement agency,,,Gymnasium,2
2701 Queen St E,M4E 1J1,322589.571,4836960.422,-79.27918979,43.6743852,736,RC Harris,Industrial Facility,,,Maintenance Bldg,2
2701 Queen St E,M4E 1J1,322589.571,4836960.422,-79.27918979,43.6743852,737,RC Harris,Industrial Facility,,,Filter Bldg,2
2717 Dundas St W,M6P 1Y1,307995.58,4835855.157,-79.46018323,43.66464119,738,Lucy McCormick Senior School,School,,,Outside Office,1
2740 Lawrence Ave E,M1P 2S7,324145.171,4845766.86,-79.25958233,43.75361517,739,David & Mary Thomson CI,School,,,Outside Main Office,1
2747 Jane St,M3L 2E8,303714.481,4844551.937,-79.51328611,43.74292968,740,St. Jane Frances Catholic School,School,,,Opposite Main Elevator,1
2793 Keele St,M3M 2G3,306229.57,4842997.999,-79.48206299,43.7289416,741,TPL - Downsview,Library,,,Main Flr Lobby,1
2801 Eglinton Ave W,M6M 5B4,306487.849,4838418.552,-79.47887044,43.68772001,742,Chris Tonks Arena,Recreation or Sports Facility,,,Outside Staff Office,1
2900 Midland Ave,M1S 3K8,322026.807,4851034.083,-79.2857207,43.80107778,743,Monsignor Fraser Midland,School,,,Main Entrance Hallway,1
2900 Warden Ave,M1W 2S8,319400.435,4850747.544,-79.31836745,43.79855481,744,TPL - Bridlewood,Library,,,(Bridlewood Mall - N/E side) Circulation Desk,1
1126 Bloor St W,M6H 1M8,310025.003,4835355.045,-79.4350249,43.66012845,603,TTC - Dufferin Station,Transportation Facility,,,Dufferin,1
1132 Leslie St,M3C 3L7,315793.278,4842486.882,-79.36336139,43.72426072,604,Sunnybrook Park,Outdoor Seasonal Facility,,,Sports Pavillion,2
1132 Leslie St,M3C 3L7,315793.278,4842486.882,-79.36336139,43.72426072,605,Sunnybrook Park,Outdoor Seasonal Facility,,,Mobile: Supervisors vehicle,2
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,606,TTC - Hillcrest Complex,Transportation Facility,,,Gunn Bldg 2nd floor,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,609,TTC - Hillcrest Complex,Transportation Facility,,,Harvey shop south side,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,610,TTC - Hillcrest Complex,Transportation Facility,,,Inglis Bldg (lobby),10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,611,TTC - Hillcrest Complex,Transportation Facility,,,Harvey shop north side,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,612,TTC - Hillcrest Complex,Transportation Facility,,,Subway Ops 1st foor,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,613,TTC - Hillcrest Complex,Transportation Facility,,,Duncan Bldg 1st floor,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,614,TTC - Hillcrest Complex,Transportation Facility,,,Subway Ops 3 fl lunchroom,10
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,615,TTC - Hillcrest Complex,Transportation Facility,,,2nd Inglis Bldg,10
1141 Bloor St W,M6H 1M9,309923.333,4835292.483,-79.43628608,43.65956601,616,Bloor CI,School,,,Main Foyer,1
1144 Lawrence Ave W,M6A 1C8,307653.859,4841169.388,-79.46439301,43.71247762,617,Lawrence Pumping Station,Industrial Facility,,,Central Work Area,1
1155 King St W,M6K 1E9,310977.961,4833011.302,-79.42323652,43.63902484,618,Allan Lamport Stadium,Recreation or Sports Facility,,,West Bowl Entrance,2
1176 Pharmacy Ave,M1R 2H7,320344.841,4844929.661,-79.3067986,43.74616817,620,Wexford CI,School,,,Main Office Hallway (NE Wall),1
1200 Lansdowne Ave,M6H 3Z8,308872.66,4836714.334,-79.44930125,43.67237091,623,Earlscourt Yard,Industrial Facility,,,Washroom Hallway,1
1265 Military Trl,M1C 1A4,330034.415,4849150.564,-79.18629266,43.78389547,627,University of Toronto Police,School,,,UTSC Police patrol car,3
1265 Military Trl,M1C 1A4,330034.415,4849150.564,-79.18629266,43.78389547,628,University of Toronto Police,School,,,UTSC Police Office,3
1265 Military Trl,M1C 1A4,330034.415,4849150.564,-79.18629266,43.78389547,629,University of Toronto Police,School,,,UTSC - EMRG Backpack,3
1275 McCowan Rd,,324754.973,4848130.084,-79.25192231,43.77487063,630,TTC - McCowan Station,Transportation Facility,,,McCowan,1
1299 Ellesmere Rd,M1P 2Y2,323790.191,4847402.448,-79.26393277,43.76834629,632,Birkdale CC,Recreation or Sports Facility,,,Reception,1
188 Bermondsey Rd,M4A 1Y1,319422.534,4842246.928,-79.31832281,43.72203836,338,Bermondsey Transfer Station,Industrial Facility,,,Scale House,1
190 Bermondsey Rd,M4A 1Y1,319626.07,4842365.154,-79.3157934,43.72309856,339,Victoria Village Arena,Recreation or Sports Facility,,,Arena - SW wall,1
200 Poplar Rd,M1E 1Z7,329672.182,4846847.02,-79.19089899,43.76317387,341,Sir Robert L Borden,School,,,Outside Main Office,1
580 Commissioners St,M4M 1A7,318451.714,4834946.827,-79.33055654,43.65634746,503,TTC - Wheel Trans,Transportation Facility,,,outside formans office Bay 17,3
590 Rathburn Rd,M9C 3T3,298089.818,4834244.03,-79.58298662,43.65010698,504,Etobicoke Olympium,Recreation or Sports Facility,,,Health Club,2
590 Rathburn Rd,M9C 3T3,298089.818,4834244.03,-79.58298662,43.65010698,505,Etobicoke Olympium,Recreation or Sports Facility,,,Aquatics,2
600 Roding St,M3M 2A5,305388.424,4843015.567,-79.49250059,43.72909203,506,Roding CC,Recreation or Sports Facility,,,Lobby,1
600 Bloor St E,M4W 3Z2,315311.437,4836817.475,-79.36945279,43.67323618,508,TTC - Castle Frank Station,Transportation Facility,,,Castle Frank,1
627 Queens Quay W,M5V 3G3,313033.279,4832612.309,-79.39776892,43.6354141,511,Harbourfront CC,Recreation or Sports Facility,,,Reception,1
640 Dundas St E,M5A 2B8,315987.38,4835482.35,-79.36109799,43.6612086,513,Regent Park Aquatics Center,Recreation or Sports Facility,,,Main Entrance,1
